Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_RentalInvoice,Firefox 56.0,,2017-11-14 17:30:01,2017-11-14 17:37:24,7m - 23.469s,PASSED
,,,,,,
Test Cases/Rental/Base_RentalContract/CreditCardRegression/TC003_RentalContractInvoice_CC - Iteration 1,Firefox 56.0,,2017-11-14 17:30:01,2017-11-14 17:33:44,3m - 43.390s,PASSED
callTestCase,Firefox 56.0,,2017-11-14 17:30:02,2017-11-14 17:32:44,2m - 41.723s,PASSED
callTestCase,Firefox 56.0,,2017-11-14 17:32:44,2017-11-14 17:33:44,1m - 0.774s,PASSED
,,,,,,
Test Cases/Rental/Base_RentalContract/CreditCardRegression/TC003_RentalContractInvoice_CC - Iteration 2,Firefox 56.0,,2017-11-14 17:33:44,2017-11-14 17:37:24,3m - 39.567s,PASSED
callTestCase,Firefox 56.0,,2017-11-14 17:33:45,2017-11-14 17:36:24,2m - 39.248s,PASSED
callTestCase,Firefox 56.0,,2017-11-14 17:36:24,2017-11-14 17:37:24,1m - 0.262s,PASSED
