Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_PartsTestSuite,Firefox 43.0,,2017-10-24 18:58:13,2017-10-24 19:06:28,8m - 14.464s,FAILED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard - Iteration 1,Firefox 43.0,,2017-10-24 18:58:14,2017-10-24 19:00:18,2m - 4.136s,PASSED
callTestCase,Firefox 43.0,,2017-10-24 18:58:15,2017-10-24 18:58:50,35.555s,PASSED
callTestCase,Firefox 43.0,,2017-10-24 18:58:50,2017-10-24 18:59:18,27.878s,PASSED
callTestCase,Firefox 43.0,,2017-10-24 18:59:18,2017-10-24 18:59:56,38.098s,PASSED
callTestCase,Firefox 43.0,,2017-10-24 18:59:56,2017-10-24 19:00:18,21.602s,PASSED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard - Iteration 2,Firefox 43.0,,2017-10-24 19:00:18,2017-10-24 19:03:22,3m - 4.430s,FAILED
callTestCase,Firefox 43.0,,2017-10-24 19:00:18,2017-10-24 19:00:54,35.683s,PASSED
callTestCase,Firefox 43.0,,2017-10-24 19:00:54,2017-10-24 19:01:21,27.686s,PASSED
callTestCase,Firefox 43.0,,2017-10-24 19:01:21,2017-10-24 19:03:02,1m - 40.261s,FAILED
callTestCase,Firefox 43.0,,2017-10-24 19:03:02,2017-10-24 19:03:22,20.767s,PASSED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard - Iteration 3,Firefox 43.0,,2017-10-24 19:03:23,2017-10-24 19:06:27,3m - 4.787s,FAILED
callTestCase,Firefox 43.0,,2017-10-24 19:03:23,2017-10-24 19:03:58,35.031s,PASSED
callTestCase,Firefox 43.0,,2017-10-24 19:03:58,2017-10-24 19:04:25,27.546s,PASSED
callTestCase,Firefox 43.0,,2017-10-24 19:04:25,2017-10-24 19:06:07,1m - 41.553s,FAILED
callTestCase,Firefox 43.0,,2017-10-24 19:06:07,2017-10-24 19:06:27,20.629s,PASSED
