Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_EquipmentTestSuite,Firefox 43.0,,2017-12-04 09:01:45,2017-12-04 09:07:09,5m - 24.064s,INCOMPLETE
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC001_EquipmentSalesAgreement_DiffGateway - Iteration 1,Firefox 43.0,Objective: Equipment Credit Card Sales Invoicing with different gateways\n\nSteps:\n1. 'Book an Equipment Order with Mode of Payment - 'Credit Card'.\n2. Add a configuration \n3. Confirm the delivery.\n4. Invoice the Order with Credit card\n\nExpected:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.,2017-12-04 09:01:45,2017-12-04 09:04:41,2m - 56.023s,FAILED
callTestCase,Firefox 43.0,Create a Unit For Sale through Purchase Order,2017-12-04 09:01:47,2017-12-04 09:04:41,2m - 54.782s,FAILED
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC001_EquipmentSalesAgreement_DiffGateway - Iteration 2,Firefox 43.0,Objective: Equipment Credit Card Sales Invoicing with different gateways\n\nSteps:\n1. 'Book an Equipment Order with Mode of Payment - 'Credit Card'.\n2. Add a configuration \n3. Confirm the delivery.\n4. Invoice the Order with Credit card\n\nExpected:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.,2017-12-04 09:04:41,2017-12-04 09:07:09,2m - 27.312s,INCOMPLETE
callTestCase,Firefox 43.0,Create a Unit For Sale through Purchase Order,2017-12-04 09:04:42,2017-12-04 09:07:09,2m - 27.179s,INCOMPLETE
