Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_PartsTestSuite,Firefox 43.0,,2017-12-05 12:21:06,2017-12-05 12:39:31,18m - 25.107s,FAILED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard - Iteration 1,Firefox 43.0,"Test Case Objective: To verify credit card invoices with different gateways for parts module.\n\nPrerequisite:\nCredit Card Payment Gateway related setup should be done in the test company for all three Payment Gateways - FreedomPay, GlobalOnePay and JDF.In the 'Payment Gateway Details' (xiext6100m000) session, Business Parameter field should contain B. P. code.\n\nSteps:\n1. 'Create a Parts Sales Order with Mode of Payment - 'Credit Card'.\n2. Add Parts lines.\n3. Pick, Pack and Invoice the Order.\n4. Enter Credit Card details from data file with different Gateways\n5. Click 'Process' in the Credit Card Interface session.\n6. Verify the invoices in 'Open Entries'\n\nExpected Output:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.\n\nInputs Needed:\n1. BP\n2. Part\n4. Qty\n3. CC Gateway\n4. Card type\n5. CC no. \n6. CVV\n",2017-12-05 12:21:06,2017-12-05 12:24:21,3m - 14.987s,PASSED
callTestCase,Firefox 43.0,Create header with Credit Card\r\n,2017-12-05 12:21:07,2017-12-05 12:21:50,43.386s,PASSED
callTestCase,Firefox 43.0,Add a part line\r\n,2017-12-05 12:21:50,2017-12-05 12:22:19,28.325s,PASSED
callTestCase,Firefox 43.0,"Ship line, Invoice the Order using Credit card\r\n",2017-12-05 12:22:19,2017-12-05 12:23:14,55.111s,PASSED
callTestCase,Firefox 43.0,Get the invoice details like Invoice No. Invoice Amount,2017-12-05 12:23:14,2017-12-05 12:23:43,29.176s,PASSED
callTestCase,Firefox 43.0,Check Invoices in Open Entries\r\n,2017-12-05 12:23:43,2017-12-05 12:24:21,38.193s,PASSED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard - Iteration 2,Firefox 43.0,"Test Case Objective: To verify credit card invoices with different gateways for parts module.\n\nPrerequisite:\nCredit Card Payment Gateway related setup should be done in the test company for all three Payment Gateways - FreedomPay, GlobalOnePay and JDF.In the 'Payment Gateway Details' (xiext6100m000) session, Business Parameter field should contain B. P. code.\n\nSteps:\n1. 'Create a Parts Sales Order with Mode of Payment - 'Credit Card'.\n2. Add Parts lines.\n3. Pick, Pack and Invoice the Order.\n4. Enter Credit Card details from data file with different Gateways\n5. Click 'Process' in the Credit Card Interface session.\n6. Verify the invoices in 'Open Entries'\n\nExpected Output:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.\n\nInputs Needed:\n1. BP\n2. Part\n4. Qty\n3. CC Gateway\n4. Card type\n5. CC no. \n6. CVV\n",2017-12-05 12:24:21,2017-12-05 12:27:26,3m - 4.871s,PASSED
callTestCase,Firefox 43.0,Create header with Credit Card\r\n,2017-12-05 12:24:21,2017-12-05 12:25:01,39.574s,PASSED
callTestCase,Firefox 43.0,Add a part line\r\n,2017-12-05 12:25:01,2017-12-05 12:25:29,28.338s,PASSED
callTestCase,Firefox 43.0,"Ship line, Invoice the Order using Credit card\r\n",2017-12-05 12:25:29,2017-12-05 12:26:21,52.121s,PASSED
callTestCase,Firefox 43.0,Get the invoice details like Invoice No. Invoice Amount,2017-12-05 12:26:21,2017-12-05 12:26:48,27.251s,PASSED
callTestCase,Firefox 43.0,Check Invoices in Open Entries\r\n,2017-12-05 12:26:48,2017-12-05 12:27:26,37.570s,PASSED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard - Iteration 3,Firefox 43.0,"Test Case Objective: To verify credit card invoices with different gateways for parts module.\n\nPrerequisite:\nCredit Card Payment Gateway related setup should be done in the test company for all three Payment Gateways - FreedomPay, GlobalOnePay and JDF.In the 'Payment Gateway Details' (xiext6100m000) session, Business Parameter field should contain B. P. code.\n\nSteps:\n1. 'Create a Parts Sales Order with Mode of Payment - 'Credit Card'.\n2. Add Parts lines.\n3. Pick, Pack and Invoice the Order.\n4. Enter Credit Card details from data file with different Gateways\n5. Click 'Process' in the Credit Card Interface session.\n6. Verify the invoices in 'Open Entries'\n\nExpected Output:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.\n\nInputs Needed:\n1. BP\n2. Part\n4. Qty\n3. CC Gateway\n4. Card type\n5. CC no. \n6. CVV\n",2017-12-05 12:27:26,2017-12-05 12:31:15,3m - 49.189s,FAILED
callTestCase,Firefox 43.0,Create header with Credit Card\r\n,2017-12-05 12:27:26,2017-12-05 12:28:08,41.699s,PASSED
callTestCase,Firefox 43.0,Add a part line\r\n,2017-12-05 12:28:08,2017-12-05 12:28:36,28.455s,PASSED
callTestCase,Firefox 43.0,"Ship line, Invoice the Order using Credit card\r\n",2017-12-05 12:28:36,2017-12-05 12:31:15,2m - 38.994s,FAILED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC002_Parts_CreditCard - Iteration 1,Firefox 43.0,,2017-12-05 12:31:15,2017-12-05 12:35:24,4m - 9.073s,PASSED
callTestCase,Firefox 43.0,Create Part Sales Order header with cc,2017-12-05 12:31:16,2017-12-05 12:32:01,45.694s,PASSED
callTestCase,Firefox 43.0,Add Line\r\n,2017-12-05 12:32:01,2017-12-05 12:32:29,28.248s,PASSED
callTestCase,Firefox 43.0,Invoice through Split Payment two cc and one cash\r\n,2017-12-05 12:32:29,2017-12-05 12:34:20,1m - 50.851s,PASSED
callTestCase,Firefox 43.0,Get Invoice Details\r\n,2017-12-05 12:34:20,2017-12-05 12:34:48,27.607s,PASSED
callTestCase,Firefox 43.0,Check invoices in Open Entries,2017-12-05 12:34:48,2017-12-05 12:35:24,36.394s,PASSED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC002_Parts_CreditCard - Iteration 2,Firefox 43.0,,2017-12-05 12:35:24,2017-12-05 12:39:29,4m - 4.161s,FAILED
callTestCase,Firefox 43.0,Create Part Sales Order header with cc,2017-12-05 12:35:24,2017-12-05 12:36:03,38.575s,PASSED
callTestCase,Firefox 43.0,Add Line\r\n,2017-12-05 12:36:03,2017-12-05 12:36:31,28.240s,PASSED
callTestCase,Firefox 43.0,Invoice through Split Payment two cc and one cash\r\n,2017-12-05 12:36:31,2017-12-05 12:39:29,2m - 57.313s,FAILED
