Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_PartsTestSuite,Firefox 43.0,,2017-11-22 13:31:38,2017-11-22 13:48:43,17m - 5.509s,FAILED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard - Iteration 1,Firefox 43.0,"Test Case Objective: To verify credit card invoices with different gateways for parts module.\n\nPrerequisite:\nCredit Card Payment Gateway related setup should be done in the test company for all three Payment Gateways - FreedomPay, GlobalOnePay and JDF.In the 'Payment Gateway Details' (xiext6100m000) session, Business Parameter field should contain B. P. code.\n\nSteps:\n1. 'Create a Parts Sales Order with Mode of Payment - 'Credit Card'.\n2. Add Parts lines.\n3. Pick, Pack and Invoice the Order.\n4. Enter Credit Card details from data file with different Gateways\n5. Click 'Process' in the Credit Card Interface session.\n6. Verify the invoices in 'Open Entries'\n\nExpected Output:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.\n\nInputs Needed:\n1. BP\n2. Part\n4. Qty\n3. CC Gateway\n4. Card type\n5. CC no. \n6. CVV\n",2017-11-22 13:31:38,2017-11-22 13:35:27,3m - 48.626s,PASSED
callTestCase,Firefox 43.0,Create header with Credit Card\r\n,2017-11-22 13:31:39,2017-11-22 13:32:39,59.707s,PASSED
callTestCase,Firefox 43.0,Add a part line\r\n,2017-11-22 13:32:39,2017-11-22 13:33:07,27.998s,PASSED
callTestCase,Firefox 43.0,"Ship line, Invoice the Order using Credit card\r\n",2017-11-22 13:33:07,2017-11-22 13:34:14,1m - 7.836s,PASSED
callTestCase,Firefox 43.0,Get the invoice details like Invoice No. Invoice Amount,2017-11-22 13:34:14,2017-11-22 13:34:51,36.687s,PASSED
callTestCase,Firefox 43.0,Check Invoices in Open Entries\r\n,2017-11-22 13:34:51,2017-11-22 13:35:27,35.515s,PASSED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard - Iteration 2,Firefox 43.0,"Test Case Objective: To verify credit card invoices with different gateways for parts module.\n\nPrerequisite:\nCredit Card Payment Gateway related setup should be done in the test company for all three Payment Gateways - FreedomPay, GlobalOnePay and JDF.In the 'Payment Gateway Details' (xiext6100m000) session, Business Parameter field should contain B. P. code.\n\nSteps:\n1. 'Create a Parts Sales Order with Mode of Payment - 'Credit Card'.\n2. Add Parts lines.\n3. Pick, Pack and Invoice the Order.\n4. Enter Credit Card details from data file with different Gateways\n5. Click 'Process' in the Credit Card Interface session.\n6. Verify the invoices in 'Open Entries'\n\nExpected Output:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.\n\nInputs Needed:\n1. BP\n2. Part\n4. Qty\n3. CC Gateway\n4. Card type\n5. CC no. \n6. CVV\n",2017-11-22 13:35:27,2017-11-22 13:38:25,2m - 58.553s,PASSED
callTestCase,Firefox 43.0,Create header with Credit Card\r\n,2017-11-22 13:35:27,2017-11-22 13:36:03,35.842s,PASSED
callTestCase,Firefox 43.0,Add a part line\r\n,2017-11-22 13:36:03,2017-11-22 13:36:31,28.308s,PASSED
callTestCase,Firefox 43.0,"Ship line, Invoice the Order using Credit card\r\n",2017-11-22 13:36:31,2017-11-22 13:37:25,54.602s,PASSED
callTestCase,Firefox 43.0,Get the invoice details like Invoice No. Invoice Amount,2017-11-22 13:37:25,2017-11-22 13:37:52,26.232s,PASSED
callTestCase,Firefox 43.0,Check Invoices in Open Entries\r\n,2017-11-22 13:37:52,2017-11-22 13:38:25,33.543s,PASSED
,,,,,,
