Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_EquipmentTestSuite,Firefox 43.0,,2017-12-05 17:45:28,2017-12-05 17:59:56,14m - 27.965s,FAILED
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC001_EquipmentSalesAgreement_DiffGateway - Iteration 1,Firefox 43.0,Objective: Equipment Credit Card Sales Invoicing with different gateways\n\nSteps:\n1. 'Book an Equipment Order with Mode of Payment - 'Credit Card'.\n2. Add a configuration \n3. Confirm the delivery.\n4. Invoice the Order with Credit card\n\nExpected:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.,2017-12-05 17:45:29,2017-12-05 17:51:08,5m - 39.063s,FAILED
callTestCase,Firefox 43.0,Create a Unit For Sale through Purchase Order,2017-12-05 17:45:30,2017-12-05 17:47:57,2m - 27.310s,PASSED
callTestCase,Firefox 43.0,Create Equipment Agreement Header\r\n,2017-12-05 17:47:57,2017-12-05 17:51:08,3m - 10.700s,FAILED
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC001_EquipmentSalesAgreement_DiffGateway - Iteration 2,Firefox 43.0,Objective: Equipment Credit Card Sales Invoicing with different gateways\n\nSteps:\n1. 'Book an Equipment Order with Mode of Payment - 'Credit Card'.\n2. Add a configuration \n3. Confirm the delivery.\n4. Invoice the Order with Credit card\n\nExpected:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.,2017-12-05 17:51:08,2017-12-05 17:55:46,4m - 38.568s,FAILED
callTestCase,Firefox 43.0,Create a Unit For Sale through Purchase Order,2017-12-05 17:51:08,2017-12-05 17:52:49,1m - 40.862s,PASSED
callTestCase,Firefox 43.0,Create Equipment Agreement Header\r\n,2017-12-05 17:52:49,2017-12-05 17:55:46,2m - 57.644s,FAILED
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC002_EquipmentSalesAgreement_Split,Firefox 43.0,Objective: Equipment Credit Card Split Tender Invoicing \n\nSteps:\n1. 'Book a Equipment Agreement with Mode of Payment - 'Credit Card'.\n2. Add Unit\n3. Deliver the Unit\n4. Invoice the Order with Split tender:  two Credit Cards and one cash\n\nExpected Result:\nThree invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and two against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Amount of Invoice against Order B.P. should be invoice amt of order and Invoice Balance should be equal to cash\n,2017-12-05 17:55:46,2017-12-05 17:59:50,4m - 3.752s,FAILED
callTestCase,Firefox 43.0,Create Unit through Purchase Order\r\n,2017-12-05 17:55:47,2017-12-05 17:57:26,1m - 39.306s,PASSED
callTestCase,Firefox 43.0,Create Sales Agreement Header,2017-12-05 17:57:26,2017-12-05 17:59:50,2m - 23.965s,FAILED
