Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_EquipmentTestSuite,Firefox 43.0,,2017-12-04 09:07:24,2017-12-04 09:23:26,16m - 2.637s,FAILED
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC001_EquipmentSalesAgreement_DiffGateway - Iteration 1,Firefox 43.0,Objective: Equipment Credit Card Sales Invoicing with different gateways\n\nSteps:\n1. 'Book an Equipment Order with Mode of Payment - 'Credit Card'.\n2. Add a configuration \n3. Confirm the delivery.\n4. Invoice the Order with Credit card\n\nExpected:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.,2017-12-04 09:07:24,2017-12-04 09:11:29,4m - 4.862s,FAILED
callTestCase,Firefox 43.0,Create a Unit For Sale through Purchase Order,2017-12-04 09:07:25,2017-12-04 09:08:59,1m - 34.281s,PASSED
callTestCase,Firefox 43.0,Create Equipment Agreement Header\r\n,2017-12-04 09:08:59,2017-12-04 09:11:29,2m - 29.596s,FAILED
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC001_EquipmentSalesAgreement_DiffGateway - Iteration 2,Firefox 43.0,Objective: Equipment Credit Card Sales Invoicing with different gateways\n\nSteps:\n1. 'Book an Equipment Order with Mode of Payment - 'Credit Card'.\n2. Add a configuration \n3. Confirm the delivery.\n4. Invoice the Order with Credit card\n\nExpected:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.,2017-12-04 09:11:29,2017-12-04 09:16:33,5m - 3.389s,FAILED
callTestCase,Firefox 43.0,Create a Unit For Sale through Purchase Order,2017-12-04 09:11:29,2017-12-04 09:12:54,1m - 24.781s,PASSED
callTestCase,Firefox 43.0,Create Equipment Agreement Header\r\n,2017-12-04 09:12:54,2017-12-04 09:16:33,3m - 38.575s,FAILED
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC002_EquipmentSalesAgreement_Split,Firefox 43.0,Objective: Equipment Credit Card Split Tender Invoicing \n\nSteps:\n1. 'Book a Equipment Agreement with Mode of Payment - 'Credit Card'.\n2. Add Unit\n3. Deliver the Unit\n4. Invoice the Order with Split tender:  two Credit Cards and one cash\n\nExpected Result:\nThree invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and two against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Amount of Invoice against Order B.P. should be invoice amt of order and Invoice Balance should be equal to cash\n,2017-12-04 09:16:33,2017-12-04 09:23:24,6m - 51.460s,FAILED
callTestCase,Firefox 43.0,Create Unit through Purchase Order\r\n,2017-12-04 09:16:33,2017-12-04 09:23:24,6m - 51.098s,FAILED
