Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_RentalInvoicewith SplitTenderTestSuite,,,2017-11-15 14:24:14,2017-11-15 14:25:24,1m - 10.442s,FAILED
,,,,,,
Test Cases/Rental/Base_RentalContract/CreditCardRegression/TC004_RentalContractInvoice_SplitTender - Iteration 1,,,2017-11-15 14:24:14,2017-11-15 14:24:51,36.143s,FAILED
callTestCase,,,2017-11-15 14:24:15,2017-11-15 14:24:40,24.641s,FAILED
callTestCase,,,2017-11-15 14:24:40,2017-11-15 14:24:51,10.649s,FAILED
,,,,,,
Test Cases/Rental/Base_RentalContract/CreditCardRegression/TC004_RentalContractInvoice_SplitTender - Iteration 2,,,2017-11-15 14:24:51,2017-11-15 14:25:24,33.697s,FAILED
callTestCase,,,2017-11-15 14:24:51,2017-11-15 14:25:14,23.429s,FAILED
callTestCase,,,2017-11-15 14:25:14,2017-11-15 14:25:24,10.234s,FAILED
