Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_PartsTestSuite,Firefox 43.0,,2017-10-26 13:56:48,2017-10-26 14:00:26,3m - 38.130s,INCOMPLETE
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard,Firefox 43.0,,2017-10-26 13:56:49,2017-10-26 14:00:26,3m - 37.648s,INCOMPLETE
callTestCase,Firefox 43.0,,2017-10-26 13:56:50,2017-10-26 13:57:40,49.840s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 13:57:40,2017-10-26 13:58:19,38.415s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 13:58:19,2017-10-26 13:59:04,45.171s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 13:59:04,2017-10-26 13:59:45,40.808s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 13:59:45,2017-10-26 14:00:26,41.734s,INCOMPLETE
