Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_PartsTestSuite,Firefox 43.0,,2017-10-26 14:11:16,2017-10-26 14:21:46,10m - 30.379s,FAILED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard - Iteration 1,Firefox 43.0,,2017-10-26 14:11:16,2017-10-26 14:15:09,3m - 52.416s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 14:11:18,2017-10-26 14:12:08,50.662s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 14:12:08,2017-10-26 14:12:43,34.599s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 14:12:43,2017-10-26 14:13:42,59.000s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 14:13:42,2017-10-26 14:14:27,45.043s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 14:14:27,2017-10-26 14:15:09,41.614s,PASSED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard - Iteration 2,Firefox 43.0,,2017-10-26 14:15:09,2017-10-26 14:18:18,3m - 9.413s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 14:15:09,2017-10-26 14:15:53,43.765s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 14:15:53,2017-10-26 14:16:27,34.722s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 14:16:27,2017-10-26 14:17:11,43.386s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 14:17:11,2017-10-26 14:17:40,28.848s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 14:17:40,2017-10-26 14:18:18,38.664s,PASSED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard - Iteration 3,Firefox 43.0,,2017-10-26 14:18:18,2017-10-26 14:21:43,3m - 24.475s,FAILED
callTestCase,Firefox 43.0,,2017-10-26 14:18:18,2017-10-26 14:19:03,44.467s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 14:19:03,2017-10-26 14:19:37,34.384s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 14:19:37,2017-10-26 14:21:43,2m - 5.597s,FAILED
