Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_PartsTestSuite,Firefox 43.0,,2017-10-24 19:24:33,2017-10-24 19:33:52,9m - 19.115s,FAILED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard - Iteration 1,Firefox 43.0,,2017-10-24 19:24:33,2017-10-24 19:27:42,3m - 8.539s,FAILED
callTestCase,Firefox 43.0,,2017-10-24 19:24:34,2017-10-24 19:25:11,36.633s,PASSED
callTestCase,Firefox 43.0,,2017-10-24 19:25:11,2017-10-24 19:25:39,28.088s,PASSED
callTestCase,Firefox 43.0,,2017-10-24 19:25:39,2017-10-24 19:27:20,1m - 40.839s,FAILED
callTestCase,Firefox 43.0,,2017-10-24 19:27:20,2017-10-24 19:27:42,22.048s,PASSED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard - Iteration 2,Firefox 43.0,,2017-10-24 19:27:42,2017-10-24 19:30:47,3m - 5.332s,FAILED
callTestCase,Firefox 43.0,,2017-10-24 19:27:42,2017-10-24 19:28:17,34.830s,PASSED
callTestCase,Firefox 43.0,,2017-10-24 19:28:17,2017-10-24 19:28:45,28.368s,PASSED
callTestCase,Firefox 43.0,,2017-10-24 19:28:45,2017-10-24 19:30:27,1m - 42.151s,FAILED
callTestCase,Firefox 43.0,,2017-10-24 19:30:27,2017-10-24 19:30:47,19.919s,PASSED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard - Iteration 3,Firefox 43.0,,2017-10-24 19:30:47,2017-10-24 19:33:51,3m - 4.122s,FAILED
callTestCase,Firefox 43.0,,2017-10-24 19:30:47,2017-10-24 19:31:21,34.326s,PASSED
callTestCase,Firefox 43.0,,2017-10-24 19:31:21,2017-10-24 19:31:49,28.070s,PASSED
callTestCase,Firefox 43.0,,2017-10-24 19:31:49,2017-10-24 19:33:31,1m - 41.413s,FAILED
callTestCase,Firefox 43.0,,2017-10-24 19:33:31,2017-10-24 19:33:51,20.277s,PASSED
