Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_EquipmentTestSuite,Firefox 43.0,,2017-11-14 15:10:41,2017-11-14 15:15:40,4m - 58.993s,ERROR
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC001_EquipmentSalesAgreement_DiffGateway - Iteration 1,Firefox 43.0,,2017-11-14 15:10:42,2017-11-14 15:13:32,2m - 50.784s,ERROR
callTestCase,Firefox 43.0,Create a Unit For Sale through Purchase Order,2017-11-14 15:10:43,2017-11-14 15:12:44,2m - 1.754s,PASSED
callTestCase,Firefox 43.0,Create Equipment Agreement Header\r\n,2017-11-14 15:12:44,2017-11-14 15:13:32,48.047s,FAILED
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC001_EquipmentSalesAgreement_DiffGateway - Iteration 2,Firefox 43.0,,2017-11-14 15:13:32,2017-11-14 15:15:39,2m - 6.789s,ERROR
callTestCase,Firefox 43.0,Create a Unit For Sale through Purchase Order,2017-11-14 15:13:33,2017-11-14 15:14:56,1m - 23.523s,PASSED
callTestCase,Firefox 43.0,Create Equipment Agreement Header\r\n,2017-11-14 15:14:56,2017-11-14 15:15:39,43.187s,FAILED
